response_id,classification,stage,stage_bin,reasons_for_stage_number,has_reasons,primary_theme,secondary_theme,tertiary_theme,total_methods,field_studies,diary_camera_studies,user_interviews,requirements_and_constraints,competitive_analysis,persona_building,task_analysis,journey_maps,prototype_testing,user_stories,card_sorting,design_review,usability_testing,benchmark_testing,accessibility_evaluation,user_surveys,analytics_review,search_log_analysis,usability_bug_review,faq_review,themes,is_certif_yes,is_certif_no,is_growth_no,is_growth_yes,is_horziin_no,is_horziin_yes,is_resourc_no,is_resourc_yes,is_strateg_no,is_strateg_yes,is_uxgroup_no,is_uxgroup_yes,is_uxperso_no,is_uxperso_yes,is_vertcoo_no,is_vertcoo_yes
R_234yEDvJyhND5Tg,"Four-year, large",5,5-6,"We don't fit cleanly into any of the stages, but stage 5 is the closest because we have a dedicated UX Analyst, but UX work is not yet integrated into our general project planning, strategic planning, or development processes. Some departments make good use of this person than others, but the technical department that is dedicated to application development (rather than supporting the library's core systems) does not have any UX integration yet.",1,horizontally_integrated_no; vertically_coordinated_no,ux_group_no; ux_person_yes,,19,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,horizontally_integrated_no vertically_coordinated_no ux_group_no ux_person_yes,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
R_2cvyi27HWPmSbBE,Unspecified,3,3-4,,0,,,,11,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,
R_322qJfzDT3fsGsO,"Four-year, medium",3,3-4,"Library administration believes in the value of UX but incorporates UX into job responsibilities. However, after I leave following my 2 year temp position (ends in July 2018) in usability and assessment, there is no centralized support.",1,ux_person_no; vertically_coordinated_no; ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ux_person_no vertically_coordinated_no ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
R_bDynkWsBhRQ69xf,"Four-year, large",5,5-6,,0,,,,14,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,
R_1hxVBn1hF1STqMF,"Four-year, large",6,5-6,"Stage 6 is true for most of our web and application development, but we have a dedicated UX group who focuses on that. I would say in the rest of the organization is closer to stage 3. UX is valued, but most project teams try to bring UX or design thinking into their work the best they can.",1,ux_group_yes; horizontally_integrated_no,,,12,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,ux_group_yes horizontally_integrated_no,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
R_3fcpSVg0RZNjHEK,"Four-year, large",5,5-6,,0,,,,13,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,
R_2e57mJsDt7sb9NT,Unspecified,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
R_svv9Hdg4HVP29Lr,Unspecified,3,3-4,,0,,,,8,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,
R_1rld7t2cmBPFYDl,Unspecified,5,5-6,,0,,,,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
R_rr7f8MfzE8Vx4KB,Unspecified,4,3-4,,0,,,,10,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,,,,,,,,,,,,,,,,,
R_3KwQLz2msg0xa9z,Unspecified,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
R_1QiKlEDNUZSBhY8,Unspecified,5,5-6,"I think we are still floundering between ""Dedicated UX Budget"" and ""Managed Usability"" ... UX is a team effort and although we have dedicated library staff, it takes everyone to make recommendations reality. We have the UX experience, but we often don't have the technical experience to implement changes that would make systems, spaces, and programs more user friendly so it becomes part of a larger library-wide effort. We are at the stage where people know they should consult with us, but either they don't OR they do but don't really hear the results, they are using us to confirm what they want to hear. We also aren't ""built in"" to any major processes, when consulted it is often too late in the decision making process where major decisions have already been made and thus we can only have a minimal effect.  And all of these reasons explain why we aren't higher on the scale.",1,horizontally_integrated_no; vertically_coordinated_no,ux_person_yes; ux_group_yes,,14,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,horizontally_integrated_no vertically_coordinated_no ux_person_yes ux_group_yes,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
R_2wzVvDgh8Thvi5y,Unspecified,5,5-6,"we are really in between 5 and 6 right now -- iterative design is being used in some projects, including one very high-profile one, but it's not 100% throughout the organization. I would say we are around 5.75",1,horizontally_integrated_no,ux_group_yes,,9,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,horizontally_integrated_no ux_group_yes,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
R_3nIfR7UpR2g5izt,Unspecified,4,3-4,,0,,,,16,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
R_yI2zG4xHc8gATxD,Unspecified,,,,0,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
R_31bgEaMDXrZupCx,Unspecified,5,5-6,"We have a dedicated UX team, led by a UX Librarian. The team is the same as the ""Web"" team so we include developers, designers, content strategy, and UX analysts. I would've chosen Stage 6 but there are quite a few silos of teams in the Library that operate independently and don't take advantage of best practices for UX. (Other independent teams tap in our department to do testing and help them improve projects, though it's generally a one-off relationship, not an ongoing process, though we're working to improve that.)",1,horizontally_integrated_no; ux_person_yes; ux_group_yes,,,15,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,horizontally_integrated_no ux_person_yes ux_group_yes,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
R_2wKQOVou4ttKLOY,Unspecified,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
R_3JxhanU5orxLaCi,Unspecified,,,,0,,,,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
R_2EoefCFPIDR0FIb,"Four-year, large",3,3-4,Budget is our biggest constraint when it comes to UX testing.,1,resources_no;,,,11,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,resources_no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R_2rIADCRs2el0cRW,"Four-year, large",6,5-6,"We have a UX department and UX is involved in many of the projects that happen in the organization. For UX owned projects the process is user-driven, however, not all projects in the very large organization include UX from the start or are set up to best utilize user data. The various sources of user data are owned across several departments and a system for sustainable analysis of that data is still being developed. 



Being at Stage 8 is within the latest strategic plan.",1,vertically_coordinated_yes; horizontally_integrated_yes,ux_group_yes,,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,vertically_coordinated_yes horizontally_integrated_yes ux_group_yes,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
R_9pBGE45JPri0kFz,Non-university,7,7-8,"I selected stage 7 as my workplace has been very supportive in addressing UX issues both in digital and physical spaces. I realize that this is probably made easier/possible as our library team for both locations in [redacted] is quite small, this means that the chain of command for approval of projects and research is easier compared to a larger federal library. Since being hired, I have created workflows that incorporate data that we gather from users. If there isn't data gathered in a certain area, we usually find a way to update workflows so that we can get that data.  Almost every project that I have worked on digitally and in the physical spaces at the library has been the result of UX/UI data that has been gathered from our users.",1,vertically_coordinated_yes; horizontally_integrated_yes,ux_person_yes,,17,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,vertically_coordinated_yes horizontally_integrated_yes ux_person_yes,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
R_3kk2y5HVnkf8gp5,"Four-year, large",3,3-4,We have a dedicated UX working group; however we have no budget or anyone who is fully dedicated to UX work.,1,ux_group_yes; ux_person_no; vertically_coordinated_no,,,13,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,ux_group_yes ux_person_no vertically_coordinated_no,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
R_2pYmg6b9MSBTdGI,"Four-year, medium",,,,0,,,,8,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,,
R_1gGb0ZCStsKfiKD,"Four-year, large",4,3-4,"my department [redacted] was formed to look at users experiences (thought we dont do a lot of the web side of things) we are pretty user focused with everything we do. so we are almost a stage 6 or 7 but its not like that is every department (yet!) but in mine, which is the public services areas and building.",1,vertically_coordinated_no; horizontally_integrated_no,ux_group_yes,,10,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,vertically_coordinated_no horizontally_integrated_no ux_group_yes,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
R_3fBJK0rJCjAwSZA,"Four-year, large",4,3-4,,0,,,,7,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,
R_2WUqkDAKFaJcywZ,"Four-year, medium",3,3-4,"The organization is aware of the growing trend in UX, but lacks the understanding necessary to commit to it as a organization-wide practice.",1,vertically_coordinated_no; horizontally_integrated_no;,,,8,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,vertically_coordinated_no horizontally_integrated_no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
R_W7mUiPQBPTfjvK9,"Four-year, medium",5,5-6,"We have a UX group with a charter, and will soon be posting a position for a UX librarian.",1,ux_group_yes; growth_yes,,,5,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,ux_group_yes growth_yes,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
R_3IQ32C4UWSIzLME,"Four-year, small",6,5-6,"I wish i could say we're at Stage 8, but we're not. I am the UX librarian and I lead a team of 5 (incl myself) through various UX-related projects. We have no dedicated budget, but we have support from the College Librarian and other directors. At times, decisions are still made from personal experience (and from understanding campus politics).",1,ux_person_yes; ux_group_yes; vertically_coordinated_yes,,,13,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,ux_person_yes ux_group_yes vertically_coordinated_yes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
R_ZFbad5FiEXghX5D,"Four-year, medium",6,5-6,"We have had a UX Office since December 2010. As we are start projects, it is now common to have a UX component, or consulting session. UX input is mostly always solicited.",1,vertically_coordinated_yes; horizontally_integrated_yes; ux_group_yes,,,14,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,vertically_coordinated_yes horizontally_integrated_yes ux_group_yes,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
R_us6ReOaX79cBG49,"Four-year, large",3,3-4,We need a position to manage our UX work ultimately and I do believe we're headed in that direction. But we don't have a systematic approach yet.,1,ux_person_yes; growth_yes; horizontally_integrated_no,,,8,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,ux_person_yes growth_yes horizontally_integrated_no,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
R_27ViAJCseuvqQzS,"Four-year, large",4,3-4,,0,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
R_BY8T0zzrSpjdavf,"Four-year, large",4,3-4,,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
R_1Q48KWoMBBRQ9F6,"Four-year, medium",7,7-8,"I am the UX librarian and am involved with almost every project and committee that touches users but since we are a small institution, my time is split between UX and the rest of my duties in systems and collection management. Project life cycles, for the most part, do have at least basic user research, some sort of assessment, and usability studies included.",1,ux_person_yes; horizontally_integrated_yes,,,14,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,ux_person_yes horizontally_integrated_yes,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
R_3ZQczECQDIBtr5n,"Four-year, medium",3,3-4,"As a small library, we don't have the staff or budget for a dedicated U/X person or team, but we are trying to be more intentional about incorporating U/X methods whenever we design or redesign an interface.",1,vertically_coordinated_no,ux_person_no; growth_yes,resources_no,15,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,vertically_coordinated_no ux_person_no growth_yes resources_no,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
R_3ne29IqTejpXLOf,"Four-year, small",4,3-4,"My organization is actually between Stages 4 and 5. Stage 4 perfectly describes where we've been for about 3-5 years, but my position has recently been dedicated to both assessment and user experience as a full-time position. I have the time and the position, but have found it challenging to chip away at the prevailing culture of Stage 4.",1,horizontally_integrated_no,growth_no,resources_no,11,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,horizontally_integrated_no growth_no resources_no,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
R_3KqrYF1aefjyziz,University outside US,5,5-6,I have recently been hired to partially work with UX and another person has been appointed UX coordinator. We are just getting started talking and planning how we can move from sporadic testing to something a bit more structured.,1,growth_yes; ux_person_yes; ux_group_yes,,,8,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,growth_yes ux_person_yes ux_group_yes,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
R_A7Kqu6iY6HCMPPX,"Four-year, large",5,5-6,"We are in the process of hiring a UX position, although we have a pretty robust culture of assessment and have conducted multiple assessments with users, including user testing.",1,ux_person_no; growth_yes,,,8,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,ux_person_no growth_yes,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R_TnmwqdsMp9cpiZX,"Four-year, large",3,3-4,"There are usability projects underway, there are usability aspirations, and one individual is assigned towards the effort but there aren't enough resources allocated or an integrated approach that is widely accepted.",1,vertically_coordinated_no; horizontally_integrated_no,ux_group_no,resources_no,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,vertically_coordinated_no horizontally_integrated_no ux_group_no resources_no,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
R_pK6THX8KFXTetRT,"Four-year, large",5,5-6,"I have the title UX Librarian and supervise a full-time staff position. I also chair a cross-departmental UX team that mainly serves in an advisory capacity.



Depending on the service or question, our Library could still fall into stage 1 with hostility/strong reluctance to implementing changes in response to usability testing, i.e., we are still staff-centered in areas. 



Overall, we've matured through the stages. In the past, I was involved in a personal research project involving usability testingâ€”now there is a dedicated position for it. 



We do employ user research to determine where to target priorities and strategy. However, I do not think we have a robust process for iterative testing or participatory design yet.",1,ux_person_yes; ux_group_yes; strategic_yes; vertically_coordinated_yes; horizontally_integrated_yes,,,9,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,ux_person_yes ux_group_yes strategic_yes vertically_coordinated_yes horizontally_integrated_yes,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
R_piukqbP3Bpa9blD,"Four-year, medium",3,3-4,,0,,,,5,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
R_21FYDGPbUza4bGd,"Four-year, small",,,,0,,,,10,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,,,,,,,,,,,,,,,,,
R_PGHWRhkRXiZAWnT,"Four-year, large",3,3-4,,0,,,,10,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,
R_2OHkpRmFmSlcJlj,University outside US,3,3-4,"Senior library admin leadership was stable for a period of time, during which serious engagement with UX values and aims were within our sights.  However, a series of senior administrative shifts have occurred over the last decade, which as disrupted the original, positive trajectory.  No sign that we're on a true recovery course, but there are small, ad hoc efforts to from time to time.",1,vertically_coordinated_no,growth_no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vertically_coordinated_no growth_no,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
R_2OOLWdbgK4LAlRA,"Four-year, large",5,5-6,"My full-time position is user experience strategist and I manage a small UX team housed within library administration. UX has started to infuse the culture of the organization broadly, which is pretty awesome. Just last year, the UX team moved into administration so that we can tie our work to strategic planning for the organization. I'd love to say we were up to stage 6 or higher, but because it's a large organization it would be an exaggeration to say that library administration monitors UX indicators like other success indicators. Unfortunately, services and spaces are still designed (in pockets) without full attention to or tracking of the user experience. I'm trying to push us towards infusing UX outcomes into projects, but it's a long road. Within certain departments and teams in the organization, especially the web design and development teams, the maturity level is higher.",1,ux_group_yes; vertically_coordinated_yes; growth_yes,horizontally_integrated_no,,15,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,ux_group_yes vertically_coordinated_yes growth_yes horizontally_integrated_no,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
R_2zevo90rORyDlUI,"Four-year, large",7,7-8,"We are somewhere in Stage 5-7.  I chose 7 because that is what I am doing, but I still need to convince other librarians and administrators that UX should be done in different stages of a product development cycle.  I was able to do that with our website redesign, but for other projects I still need to educate others even my boss to put me out there at the start of a project.",1,ux_person_yes; horizontally_integrated_no;,,,13,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,ux_person_yes horizontally_integrated_no,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
R_1GTw7FVb5cspunm,"Four-year, medium",3,3-4,"Especially for website design we have been using usability testing, card sorts etc to bring in the user perspective.  However, this is essentially initiate by one individual who brings other along in the process.  

Additional colleagues have conducted interviews with faculty, or gotten some feedback from students but overall it is not systematic at an organizational level.",1,horizontally_integrated_no; vertically_coordinated_no;,ux_person_no; ux_group_no,,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,horizontally_integrated_no vertically_coordinated_no  ux_person_no ux_group_no,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
R_wRULcDUAfcRUQbn,University outside US,5,5-6,,0,,,,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
R_2s4oOy34qnqyQL6,"Four-year, large",5,5-6,"We have a dedicated UX librarian (me) who owns UX and usability, so stage 5 is the most accurate. I don't know if UX has become a necessarily planned activity across the whole organization. I am team of one, and though I've tried, I haven't been able to add anyone else to form an official UX team as well.



The bit in Stage 4 about the main method being user testing (and being mostly late in the dev process) is very accurate for my organization. I have pushed for more discovery/exploration and it's gained traction in some groups better than others.



So perhaps we're at Stage 4.5 or something like that.",1,horizontally_integrated_no,ux_group_no; ux_person_yes,,7,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,horizontally_integrated_no ux_group_no ux_person_yes,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
R_p6pVXnsJaHtPHwt,"Four-year, large",5,5-6,"We do have a UX librarian, and there may soon be a usability lab.  I am new at my position; the previous librarian in this position was the first, but burned out after a few years.



We do try usability work earlier and throughout our project stages, but actual development is hampered by a small dev staff/competition for resources.",1,vertically_coordinated_no,ux_person_yes; growth_no,resources_no,9,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,vertically_coordinated_no ux_person_yes growth_no resources_no,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
R_2U9j5hMNmJOb066,University outside US,4,3-4,,0,,,,11,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,
