title,description,location
AGRICOLA (National Agricultural Library),"<p>Index to National Agricultural Library's international journals, theses, patents, computer software, and technical reports in agriculture and related fields. This database includes but is not limited to resources available in the NAL, and contains 5,200,000+ records including printed works dating back to the 15th century.</p>",https://agricola.nal.usda.gov/
America: History and Life,<p>America: History and Life abstracts and indexes journals and dissertations on the history of the United States and Canada.</p>,"http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ahl"
American Chemical Society Web Editions,<p>Provides access to the entire library of ACS full-text journals. ACS Journal archives allows access to 120 years of chemistry research. The online archives searches the full text of all titles published by ACS from 1879 to the present day providing seamless integration between the archives and web editions. ACS allows electronic delivery of articles in PDF format with fullscale integration with the original document.</p>,http://pubs.acs.org/
American Film Institute Catalog,"AFI Catalog is a national filmography documenting the history of American cinema. Cataloging currently covers the years 1892-1973 comprehensively, with additional records covering selected major films from 1975 onwards.",https://search.proquest.com/afi/advanced?accountid=14585
American Fisheries Society,The American Fisheries Society publishes a suite of journals for aquatic resource professionals.,https://afspubs.onlinelibrary.wiley.com/
American Mathematical Society Publications,Full-text access to a variety of journals and magazines published by the American Mathematical Society.&amp;nbsp;,http://www.ams.org/journals/
JAMA Network,Provides access to the full-text of journals published by the American Medical Association.,https://jamanetwork.com
American Memory: Historical Collections for the National Digital Library,"The American Memory project of the Library of Congress National Digital Library Program digitizes distinctive, historical Americana holdings at the Library of Congress, including photographs, full-text manuscripts and rare books, maps, recorded sound and moving pictures. To achieve its goal, this unique public-private program, also works in cooperation with members of the Digital Library Federation and other libraries and archives throughout the United States. For example, digital collections from the LC/Ameritech Digital Library Competition are included.",https://www.loc.gov/collections/
American Meteorological Society Journals,Contains the full-text of journal and bulletin articles published by the American Meteorological Society.,http://journals.ametsoc.org/
American Periodicals Series,"<p>American Periodicals Series includes digitized images of the pages of American magazines and journals published from colonial days to the dawn of the twentieth century, covering two centuries of Americana (1741-1900). Titles range from Benjamin Franklin's General Magazine and America's first scientific journal, Medical Repository; popular magazines such as Vanity Fair and Ladies' Home Journal; regional and niche publications; and groundbreaking journals like The Dial, Puck, and McClure's.</p>",https://search.proquest.com/americanperiodicals/advanced?accountid=14585
American Slavery: A Composite Autobiography,"<p>Commonly known as the WPA Slave Narratives, American Slavery: A Composite Autobiography provides an authentic portrait of life, culture and survival for African Americans during the periods of slavery, Reconstruction and Depression-era America. Over 2,000 autobiographical narratives from former slaves in 17 states are included as part of this Federal Writer's Project (FWP) which was conducted under the auspices of the Work Projects Administration (WPA) and sponsored by the Library of Congress. Fully searchable by name, state, county and age, the collection and its index are enhanced through the offering of public discussion forums, links to virtual syllabi, teaching resources, and curriculum guides, plus a variety of related Web resources.</p>",https://publisher.abc-clio.com/~bookindex?indexLetter=All
Animal Behavior Abstracts,"Indexes and abstracts significant papers relevant to animal behavior ranging from neurophysiology to behavioral ecology, genetics, applied ethology, etc.",https://search.proquest.com/animalbehavior/advanced?accountid=14585
Annual Reviews,"The Annual Reviews service provides searchable, full text access to review articles&amp;nbsp;covering biomedical/life sciences, physical sciences,&amp;nbsp;social sciences, and economics.",https://www.annualreviews.org/
AnthroSource,"Provides access to the peer reviewed journals, newsletters and bulletins of the AAA. Anthropology News is provided to individual members of the American Anthropological Association (AAA) as part of their membership.&amp;nbsp; Online access to Anthropology News is restricted for non-AAA members, and this includes institutional subscribers to AnthroSource.&amp;nbsp; Issues for the latest ten years are only available free-of-charge to individual AAA members. Older issues are available online for institutions subscribing to AnthroSource. This limited access has been designated by AAA.&amp;nbsp; On the AnthroSource web site, this limited access is described as 10 year moving wall. The following journal titles have older content available via JSTOR: American Anthropologist, American Ethnologist, Cultural Anthropology, Ethos, Medical Anthropology Quarterly. Current content for the latest 7 years of these AAA journals is available in AnthroSource.&amp;nbsp; All issues from 1996 and earlier are archived in JSTOR.",https://anthrosource.onlinelibrary.wiley.com/
APS (American Physical Society) Research Journals,Full-text access to a variety of journals published by the American Physical Society,https://journals.aps.org/
Aquaculture Compendium,A global compilation of knowledge on aquaculture for practical decision-making in aquatic resource management and aquaculture.,http://www.cabi.org/ac/
ArchiveGrid,"ArchiveGrid is a tool for searching through historical documents, personal papers, and family histories held in archives around the world.",https://researchworks.oclc.org/archivegrid/
ARTFL (American and French Research on the Treasury of the French Language),"<p>ARTFL provides access to databases containing the full-text of a broad range of significant books, texts, bibliographies and other works supporting the study of French language and literature. The site contains searchable databases (ARTFL Main Database of French Texts, ARTFL: French Women Writers Database, and the ARTFL: Provenal Poetry Database) and supports many public access databases including the Dictionnaires d&#39;autrefois, the Encyclop&eacute;die of Diderot and d&#39;Alembert, and the Biblioth&egrave;que Bleue de Troyes.</p>",https://artfl-project.uchicago.edu/ARTFL.html
ARTFL French Dictionaries,"<p>The ARTFL Reference page contains links to its Dictionnaires d&#39;autrefois , a newly-developed French-English, English-French modern dictionary and other reference works for linguistics study.</p>",https://artfl-project.uchicago.edu/node/40
ARTFL: French Women Writers Database,<p>The ARTFL Project's French Women Writers (FWW) Project is a searchable database containing over 150 works by French women authors from the 16th to the 20th century.</p>,https://artfl-project.uchicago.edu/node/115
ARTFL Main Database of French Texts,The full-text of over 3500 French texts spanning the 12th through the 20th centuries.,https://artfl-project.uchicago.edu/content/artfl-frantext
ARTFL: Provencal Poetry Database,This French language database contains the full-text of Proven&amp;ccedil;al poetry. The selected works span 1130 to 1300.,https://artfl-project.uchicago.edu/node/129
ArticleFirst,ArticleFirst is a daily updated multidisciplinary index and abstracting service covering articles in academic periodicals.,http://newfirstsearch.oclc.org/dbname=Article1st;done=referer;FSIP
ARTstor,"<p>ARTstor consists of a repository of hundreds of thousands of digital images and related data including the tools to actively use those images and a restricted-usage environment that seeks to balance the rights of content providers with the needs and interests of content users. The ARTstor collections are comprised of contributions from museums, individual photographers, scholars, special collections at libraries, and photo archives. All images are accompanied by comprehensive metadata and are rights-cleared for educational use.</p>",https://www.jstor.org/site/artstor/
ASCE Research Library,Full-text access to a variety of journals published by the American Society of Civil Engineers.,http://ascelibrary.org/
ASFA: Aquatic Sciences &amp;amp; Fisheries Abstracts (ProQuest),ASFA is the most comprehensive database covering research and technical literature in aquatic sciences. Subfiles include Environmental RouteNet and Water Resource RouteNet.,https://search.proquest.com/asfa/advanced?accountid=14585
Astrophysics Data System (ADS),"SAO/NASA Astrophysics Data System (ADS) is a Digital Library portal for researchers in Astronomy and Physics.&amp;nbsp;The ADS maintains three bibliographic databases containing more than 12.6 million records covering publications in Astronomy and Astrophysics, Physics, and the arXiv e-prints. It provides access to (1) astronomy, instrumentation, physics and geophysics abstracts; (2) the full-text of journal articles &amp;amp; scanned books; (3) links to NASA astronomical data catalogs.",https://ui.adsabs.harvard.edu/
ATLA Religion Database with ATLASerials,"<p>The Atla Religion Database is an essential resource for religious and theological studies, containing over 2.8 million bibliographic records covering topics such as biblical studies, world religions, church history and religion in social issues.</p>","http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=rfh"
Avery Index to Architectural Periodicals (EBSCOHost),"<p>The Avery Index to Architectural Periodicals covers architecture and related fields such as archaeology, urban planning, historic preservation, and interior design. Coverage reaches from the 1930s (with selective coverage dating back to the 1860s) to the present.</p>","http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=bvh"
Bacteriology Abstracts,Abstracts of medically-oriented clinical and research literature in bacteriology. This index is a subfile of the Environmental Science Index.,https://search.proquest.com/microbiologyb/advanced?accountid=14585
Biblioteca Digital Nacional de Cuba,"La Biblioteca Digital Nacional de Cuba, producida por la Biblioteca Nacional Jose Marti esta tratando de preservar por este medio los valiosos fondos que existen en ella. The Digital National Library of Cuba produced by the Jose Marti National Library is trying to preserve its valuable materials.",http://bnjm.cu/index.php
"Biblioteca Virtual de Prensa Historica, Spain","The Virtual Library of Historical Newspapers is one of the main digitization projects being carried out in Spain. The database includes almost 2000 headlines from 45 libraries, with 3,906,000 pages from 140 places where newspapers were printed.",https://prensahistorica.mcu.es/es/inicio/inicio.do
Biological Science (ProQuest),"This service indexes theoretical and applied research in biomedicine, biotechnology, zoology, ecology, and related resources in the biological sciences. MEDLINE and TOXLINE are included in the search.",https://search.proquest.com/biologicalscience1/advanced?accountid=14585
BioMed Central,Independent open access publisher committed to providing free full-text access to peer-reviewed biomedical research.,http://www.biomedcentral.com
BioOne,"Provides access to full-text of research journals in the biosciences published by scientific societies such as the Wilson Ornithological Society, Society of Wetland Scientists, and Entomological Society of America.",https://bioone.org/browse/title
Black Studies Center,"Black Studies Center is a fully cross-searchable gateway to Black Studies including scholarly essays, recent periodicals, historical newspaper articles, and much more. It combines several resources for research and teaching in Black Studies: Schomburg Studies on the Black Experience, International Index to Black Periodicals (IIBP), The Chicago Defender, and the Black Literature Index.",https://www.proquest.com/bsc/advanced
BMJ Journals,Journal content from BMJ,https://journals.bmj.com/
Brill Dictionary of Religion,Online version of the 2006 print edition.,http://referenceworks.brillonline.com/browse/brill-dictionary-of-religion
Britannica Online,"<p>Britannica Online includes the online version of the Encyclopedia Britannica, the 10th ed. of the Merriam-Webster&#39;s Collegiate Dictionary, Britannica&#39;s Internet Guide, and The World Guide with maps, country information, and news</p>",https://academic.eb.com/levels/collegiate
British Library for Development Studies Database (BLDS),The BLDS online catalog contains information on monographs and books acquired since 1987; journal articles have been selectively indexed since 1990.,https://guides.lib.sussex.ac.uk/c.php?g=655545&amp;p=4613793
Building Green,"Independent publishing company focsuing on green design information from many sources.  Includes product news and reviews, articles on green business practices, government information and more.",http://www.buildinggreen.com/
Business Abstracts with Full Text (H.W. Wilson),"<p>Business Abstracts with Full Text (H.W. Wilson) indexes articles of at least one column in length more than 400 English-language periodicals published in the United States and elsewhere. Full text coverage begins in January 1995. Searches can be limited to specific articles types (e.g. product, case, feature article, corporate profile, full-text, peer-reviewed).</p>","https://access.library.miami.edu/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=bft"
Business Source Premier,"<p>Business Source Premier indexes and abstracts 3,300 business journals and provides full-text access to over 2,800 of them.</p>","https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=buh"
Calcium and Calcified Tissue Abstracts,"Indexes current research in bone metabolism, tooth development, nerve transmission, muscle contraction, hormone secretion, and other topics related to the role of calicium in biology and medicine.",https://search.proquest.com/calciumabstracts/advanced?accountid=14585
Calder Medical Library Online Catalog,"The online catalog of the Calder Medical Library, University of Miami.",https://miami-primo.hosted.exlibrisgroup.com/primo-explore/search?vid=med_new&amp;lang=en_US
Chemoreception Abstracts,"Indexes literature on the sensory and biological aspects of taste, smell, pheromones, perfumes, fragrances, soaps, cosmetics, essential oils, foods, flavorings, aromas, spices, etc.",https://search.proquest.com/chemoreceptionabstracts/advanced?accountid=14585
Chicago Manual of Style Online,"<p>Completely searchable and easy to use, The Chicago Manual of Style Online provides recommendations on editorial style and publishing practices for the digital age.</p>",http://www.chicagomanualofstyle.org/home.html
Child Welfare Information Gateway,"Child Welfare Information Gateway provides access to information and resources to help protect children and strengthen families. Topics range from prevention to permanency, including child welfare, child abuse and neglect, foster care, and adoption. Child Welfare Information Gateway promotes the safety, permanency, and well-being of children and families by connecting child welfare professionals, including those working in adoption and other related fields, to essential information and resources to help them address the needs of children and families in their communities. In addition, Child Welfare Information Gateway provides access to print and electronic publications, websites.",http://www.childwelfare.gov/
Christian Science Monitor,The Christian Science Monitor is an international daily newspaper published Monday through Friday. Founded in 1908 by Mary Baker Eddy.,http://www.csmonitor.com/
CIA World Factbook,US government profiles of countries and territories around the world.,https://www.cia.gov/the-world-factbook/
CINAHL Plus,<p>Primary index to the international literature of nursing and health.</p>,"https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=jlh"
Music Online:  Classical Music Library,"<p>An interdisciplinary collection of streaming audiovisual recordings organized into the following categories: American music, classical, dance, jazz, popular music, contemporary world music, and Smithsonian Global Sound. Music Online includes the Classical Scores Library, a five-volume set of online scores ranging from the Medieval period through the twenty-first century. Thousands of pages of composer biographies and program notes are also available. As of August of 2024, Music Online includes more than 14 million individual tracks of music and nearly 11,000 videos.</p>",https://search.alexanderstreet.com/clmu
Music Online:  Classical Scores Library,"<p>Contains 400,000+ pages of the most important classical scores and manuscripts, allowing for the study and analysis of more than 8,000 scores. The collection includes works spanning time periods from the Renaissance to the 21st century. Coverage of score types is comprehensive, with full scores, study scores, piano and vocal scores, and piano reductions. The database has been indexed to enable users to search on musically relevant fields, such as composer, work/opus number, key, genre, instrument, time period; as well as score-specific fields, such as score type, duration, editor, arranger, publisher. These scores are also indexed in the library catalog.</p>",https://search.alexanderstreet.com/shmu
ClinicalTrials.gov,"Database of clinical trials sponsored by the National Institutes of Health, other Federal agencies and the pharmaceutical industry.  Provides status of trials.",http://clinicaltrials.gov/
Cochrane Library,Collection of health databases providing independent evidence to inform clinical treatment decisions and other health related decisions.,https://www.cochranelibrary.com/
Codex Sinaiticus,Contains earliest known complete text of the New Testament from 4th Century Greek text.,http://www.codexsinaiticus.org/en/
Columbia Gazetteer of the World Online,"This is a full-text database with detailed descriptions and statistics on thousands of countries, cities, mountains, rivers, and every other kind of political area or geographic feature. It allows the user to look up a single place or to produce lists of features based on statistical criteria&amp;nbsp; i.e., a list of longest rivers or cities over 1000 feet above sea level.",http://www.columbiagazetteer.org/
Columbia International Affairs Online,"Columbia International Affairs Online contains the full-text of working papers, conference proceedings, policy briefs, economic indicators, and other theory and research resources in international affairs.",http://www.ciaonet.org/
ComAbstracts,"ComAbstracts indexes and abstracts journal articles in communication studies and related areas (rhetoric, journalism, mass communication, new media technologies, and speech).",https://www.cios.org/www/abstract.htm
ComIndex,ComIndex indexes the contents of major communication journals.,https://www.cios.org/www/afjourn.htm
Communication & Mass Media Complete,<p>The most comprehensive index to communication journals and other materials. Includes full-text for most articles.</p>,"https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ufh"
Compendex,The world's largest bibliographic database in the field of engineering.,http://www.engineeringvillage.com/controller/servlet/Controller?CID=quickSearch&amp;database=1
Complete Works of Ralph Waldo Emerson,"A digital edition of the Complete Works of Ralph Waldo Emerson, Centenary Edition, edited and with notes by Edward Waldo Emerson",https://quod.lib.umich.edu/e/emerson/
Computer and Information Systems Abstracts (merged with Advanced Technologies &amp;amp; Aerospace),"Computer and Information Systems Abstracts indexes theory and practical applications information on software, artificial intelligence, automation, and related areas. Now part of Advanced Technologies &amp;amp; Aerospace.",https://search.proquest.com/computerinfo/advanced?accountid=14585
COS Conference Papers Index,"Conference Papers Index indexes papers and poster sessions presented at major scientific meetings worldwide. Records include complete ordering information to obtain preprints, abstracts, proceedings and other publications derived from the conference, together with title and author information needed to track the specific papers. Information is derived from final programs, abstracts booklets and published proceedings, as well as from questionnaire responses.",https://search.proquest.com/cpi?accountid=14585
Consejo Latinoamericano de Ciencias Sociales (CLACSO) Virtual Library Database,Contains the publications of 159 research organizations in Latin America and the Caribbean that form the membership of CLACSO.,http://www.biblioteca.clacso.edu.ar/
Contemporary Authors Online,"Provides complete biographical and bibliographical information and references on more than 120,000 U.S. and international authors.",https://infotrac.gale.com/itweb/miami_richter?db=CA
Country Studies,"This collection contains&amp;nbsp;the electronic versions of 80 books previously published in hard copy as part of the Country Studies Series by the Federal Research Division. Intended for a general audience, books in the series present a description and analysis of the historical setting and the social, economic, political, and national security systems and institutions of select countries throughout the world. Most books in the series deal with a single foreign country, but a few cover several countries or a geographic region. The series includes several books on countries that no longer exist in their original configuration&amp;mdash;such as Czechoslovakia, East Germany, the Soviet Union, Sudan, and Yugoslavia. These books remain in the series because they continue to offer valuable historical information and perspective. In some cases, studies on successor states are also part of the series.",https://www.loc.gov/collections/country-studies/about-this-collection/
CQ Researcher Plus Archive,"<p>The CQ Researcher explores a single issue in the news in depth each week. Topics range from social and teen issues to environment, health, education and science and technology. 44 reports are produced each year.</p>",http://library.cqpress.com/cqresearcher
NIH RePORTER,"<p>NIH RePORTER contains substantive descriptions of biomedical research funded by the Food &amp;amp; Drug Administration &amp;amp; the National Institutes of Health, Department of Health and Human Services.<br />
<br />
Most of the research falls within the broad category of extramural projects, grants, contracts, and cooperative agreements conducted primarily by universities, hospitals, and other research institutions. Information includes an abstract of project, principal investigators, award type &amp; activity, sponsor, &amp; grant amount.</p>",http://projectreporter.nih.gov/reporter.cfm
Current Digest of the Russian Press,"Weekly digest that presents a selection of Russian-language press materials translated into English, intended for use in teaching and research.",https://dlib.eastview.com/browse/publication/6765
Daat: Kitvei Et ve Maamarim,Journal articles in Hebrew published in Israel related to education and Judaic subjects.,http://www.daat.ac.il/daat/kitveyet/kitveyet.htm
Dialnet,"Spanish periodical index created by Universidad de Rioja. Covers the sciences, social sciences, and humanities.",https://dialnet.unirioja.es/
Dictionary of Literary Biography Complete Online,"<p>Provides nearly 10,000 biographical and critical essays on the lives, works, and careers of the world's most influential literary figures from all eras and genres.</p>",https://infotrac.galegroup.com/itweb/miami_richter?db=DLBC
Digital Library of Classic Protestant Texts,"The Digital Library of Classic Protestant Texts is a uniquely exhaustive resource for historians, theologians, political scientists, and sociologists studying the religious and social upheavals of the 16th and 17th centuries. The database gives researchers immediate, web-based access to an extensive range of seminal works from the Reformation and post-Reformation eras. In addition, it offers in-depth browsing and searching of a treasury of theological writings, biblical commentaries, confessional documents, sermons, letters, polemical treatises, and other works by hundreds of Protestant authors.",https://search.alexanderstreet.com/tcpt
Digital Library of the Catholic Reformation,"<p>The Digital Library of the Catholic Reformation includes hundreds of seminal but often hard-to-find works, including papal documents, synodal decrees, catechisms, confessors&amp;rsquo; manuals, biblical commentaries, theological treatises, liturgical works, inquisitorial manuals, preaching guides, saints&amp;rsquo; lives, and devotional literature. Offering extensive selections from authors as diverse as Robert Bellarmine, Antoine Arnauld, Johannes Cochlaeus, Michael Bajus, Thomas Stapleton, Cesare Baronio, Luis de Granada, and dozens more, the database represents the full range of ideas and opinions that sparked and sustained Catholic reform in the heady years before, during, and after the landmark decrees of the Council of Trent.<br />
<br />
Most of the works in The Digital Library of the Catholic Reformation are period editions presented in their original languages of Latin, English, French, Italian, Spanish, and German. To maximize the research utility of the database, scholars have access not only to the fully-searchable text file, but also to a digital facsimile of each historically important edition chosen by the editors.</p>",https://search.alexanderstreet.com/dlcr
Digital National Security Archive,Collection of significant primary documents central to U.S. foreign and military policy since 1945.,https://search.proquest.com/dnsa/advanced/socialsciences/fromDatabasesLayer?accountid=14585
Documenting the American South,"A digital publishing initiative that provides Internet access to texts, images, and audio files related to southern history, literature, and culture. Currently DocSouth includes ten thematic collections of books, diaries, posters, artifacts, letters, oral history interviews, and songs.",https://docsouth.unc.edu/
DOE SciTech Connect Database,"<p>SciTech Connect is a portal to free, publicly-available Department of Energy (DOE)-sponsored R&amp;D results including technical reports, bibliographic citations, journal articles, conference papers, books, multimedia, software, and data information. Launched in 2013, SciTech Connect consolidates two previous DOE search engines, Information Bridge and Energy Citations Database, creating a single search interface for all R&amp;amp;D information.<br />
<br />
With over 2.75 million citations, including citations to 1.4 million journal articles, 471,000 of which have digital object identifiers (DOIs) linking to full-text articles on publishers&#39; websites, SciTech Connect holds over 410,000 full-text DOE sponsored Scientific and Technical Information (STI) reports. Most full-text reports are post-1991, although nearly 135,000 of the reports were published prior to 1991.</p>",https://www.osti.gov/bridge/
DOE OpenNet,"<p>The Department of Energy (DOE) OpenNet database provides easy, timely access to over 485,000 bibliographic references and 140,000 recently declassified documents, including information declassified in response to Freedom of Information Act requests.<br />
<br />
In addition to these documents, OpenNet references older document collections from several DOE sources. This database is updated regularly as more information becomes available.</p>",https://www.osti.gov/opennet/
DRAM: Database of Recorded American Music,"<p>DRAM is a scholarly resource providing educational communities with on-demand streaming access to CD-quality audio (192kbps Mp4), complete original liner notes and essays from independent record labels and sound archives. The collection contains over 4,000 album's worth of recordings from a distinctive set of 42 independent labels and archives. In addition, it contains a diverse catalogue of American music represented by the New World Records and CRI labels.</p>",http://www.dramonline.org/
DynaMed,"<p>DynaMed is the next-generation clinical reference tool physicians can rely on for fast, easy access to point-of-care decision support. Written by a team of specialized physicians and researchers, content is updated several times daily to include information on the latest evidence-based research, providing practice-changing answers to clinical questions with optimized speed.</p>","https://access.library.miami.edu/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&custid=s3573515&groupid=main&profile=dmp"
"Early American Imprints, Series I: Evans, 1639-1800","<p>Based on Charles Evans&#39; renowned &ldquo;American Bibliography&rdquo; and Roger Bristol&rsquo;s supplement, Early American Imprints, Series I: Evans, 1639-1800 is the definitive resource for every aspect of life in 17th- and 18th-century America.&nbsp;This digital collection contains virtually every book, pamphlet and broadside published in America over a 160-year period.<br />
<br />
Topics covered include agriculture and auctions through foreign affairs, diplomacy, literature, music, religion, the Revolutionary War, temperance, witchcraft, and just about any other subject imaginable. Including more than 36,000 printed works and 2.3 million pages, Series I also offers new imprints not available in microform editions.</p>",https://infoweb.newsbank.com/?db=EVAN&amp;s_startsearch=keyword
"Early American Imprints, Series II: Shaw-Shoemaker, 1801-1819","<p>Early American Imprints, Series II: Shaw-Shoemaker, 1801-1819 provides a comprehensive set of American books, pamphlets and broadsides published in the early part of the 19th century. Based on the noted &ldquo;American Bibliography, 1801-1819&rdquo; by Ralph R. Shaw and Richard H. Shoemaker, this collection contains more than four million pages from over 36,000 items&mdash;including 1,000 catalogued new items unavailable in previous microform editions.<br />
<br />
Through Early American Imprints, Series II, students and scholars can extensively research westward expansion, the development of American arts (literature, music, painting, etc.), the progression of American political thought and much more. In addition to books, broadsides and pamphlets, the collection includes published reports and the works of many European authors reprinted for the American public. Additionally, a large number of state papers and early government materials&mdash;including presidential letters and congressional, state and territorial resolutions&mdash;chronicle the political and geographic growth of the developing American nation.</p>",https://infoweb.newsbank.com/?db=SHAW&amp;s_startsearch=keyword
Early English Books Online,"<p>Early English Books Online (EEBO) contains page images of virtually every work printed in England, Ireland, Scotland, Wales and British North America and works in English printed elsewhere from 1473&ndash;1700.<br />
<br />
From the first book published in English through the age of Spenser and Shakespeare, this incomparable collection contains more than 130,000 titles and more than 17 million scanned pages as listed in 4 collections - Pollard &amp; Redgrave&#39;s <em>Short-Title Catalogue (1475-1640)</em> and <em>Wing&#39;s Short-Title Catalogue (1641-1700)</em> and their revised editions, as well as the <em>Thomason Tracts (1640-1661)</em> collection and the <em>Early English Books Tract Supplement</em>. EEBO covers more than 30 languages from Algonquin to Welsh, and variant editions and multiple copies.</p>",https://search.proquest.com/eebo
Early English Books Online Text Creation Partnership,"<p>The primary goal of the Text Creation Partnership (TCP) is to create standardized, accurate XML/SGML encoded electronic text editions of early printed books. The partnership transcribes and encodes the page images of books from ProQuest&amp;rsquo;s Early English Books Online, Gale Cengage&amp;rsquo;s Eighteenth Century Collections Online, and Readex&amp;rsquo;s Evans Early American Imprints.<br />
<br />
This work, and the resulting text files, are jointly funded and owned by more than 150 libraries worldwide. Ultimately, all of the TCP&#39;s work will be placed into the public domain for anyone to use. The texts can be searched through web interfaces provided by the libraries at the University of Michigan and University of Oxford. In addition, partner libraries and their users are welcome to locally store, host, manipulate, analyze and otherwise work with the encoded text files, just as if they had been created locally.</p>",https://quod.lib.umich.edu/e/eebogroup/
Ecology Abstracts,"<p>Ecologists will find in this database the essence of current ecology research across a wide range of disciplines, reflecting recent advances in light of growing evidence regarding global environmental change and destruction. Ecology Abstracts focuses on how organisms of all kinds - microbes, plants, and animals - interact with their environments and with other organisms. Included are relevant papers on evolutionary biology, economics, and systems analysis as they relate to ecosystems or the environment. With coverage ranging from habitats to food chains, from erosion to land reclamation, the database provides an important cross-section of current findings in target research areas. Detailed information on resource and ecosystems management and modeling contributes to the database&#39;s practical value, as does material on the impact of climate, water resources, soil, and man or growing environmental problems such as depletion, erosion, and pollution all topics which are covered in depth.</p>",https://search.proquest.com/ecology/advanced?accountid=14585
EconLit,"<p>EconLit, the American Economic Association's electronic database, is a source for references to economic literature dating back to 1969. EconLit provides links to full-text articles in all fields of economics, including capital markets, country studies, econometrics, economic forecasting, environmental economics, government regulations, labor economics, monetary theory, and urban economics.</p>","http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ecn"
